category,subcategory,goal,pledged,success
Music,Hip-Hop,1200.0,2541.0,True
Crafts,Pottery,300000.0,0.0,False
Crafts,Weaving,20000.0,100409.0,True
Publishing,Young Adult,550.0,1110.0,True
Journalism,Video,60000.0,0.0,False
Crafts,Printing,300.0,66.0,False
Games,Tabletop Games,29815.0,19217.0,False
Photography,Nature,1000.0,2123.0,True
Theater,Plays,200.0,10.0,False
Theater,Musical,4000.0,4142.0,True
Food,Bacon,7000.0,1382.0,False
Music,Music,10000.0,10150.0,True
Film & Video,documentary,7500.0,72.0,False
Film & Video,Television,35500.0,10682.0,False
Design,Civic Design,15000.0,7060.0,False
Art,Painting,64.0,255.0,True
Art,Art,25000.0,29293.0,True
Dance,Spaces,10810.0,1160.0,False
Photography,People,3000.0,3852.72,True
Fashion,Pet Fashion,2500.0,130.0,False
Film & Video,Film & Video,15000.0,32074.0,True
Comics,Webcomics,45000.0,773.0,False
Design,Toys,2800.0,9098.0,True
Technology,software,10000.0,1189.0,False
Fashion,Childrenswear,15000.0,15509.0,True
Design,Toys,350.0,2605.0,True
Games,Mobile Games,100000.0,129040.0,True
Art,Mixed Media,30000.0,161.0,False
Music,Indie Rock,3500.0,1521.99,False
Design,Toys,140000.0,393399.0,True
Theater,Spaces,13000.0,168.0,False
Dance,Residencies,2000.0,249.0,False
Technology,Robots,13000.0,175.0,False
Food,Community Gardens,25000.0,450.0,False
Art,Textiles,5000.0,0.0,False
Food,Food Trucks,20000.0,5.0,False
Publishing,Fiction,500.0,2507.0,True
Journalism,Print,10000.0,10061.0,True
Technology,Fabrication Tools,4000.0,271.0,False
Technology,Fabrication Tools,20000.0,16931.0,False
Dance,Performances,80000.0,1721.0,False
Theater,Spaces,12304.0,13535.0,True
Crafts,Candles,4500.0,790.0,False
Design,Graphic Design,15000.0,40112.0,True
Music,Kids,25000.0,12.0,False
Design,Architecture,20000.0,24266.33,True
Music,Classical Music,5022.0,57.0,False
Film & Video,Television,12000.0,150.0,False
Crafts,Glass,2800.0,800.0,False
Food,Events,16100.0,16485.0,True
Crafts,Embroidery,500.0,5466.0,True
Crafts,Embroidery,3900.0,4000.0,True
Publishing,Fiction,5000.0,8480.82,True
Technology,Fabrication Tools,50000.0,1233.0,False
Technology,Camera Equipment,2000.0,1062.29,False
Design,Graphic Design,1485.0,1756.0,True
Film & Video,Comedy,4000.0,4299.12,True
Film & Video,Film & Video,30000.0,30281.0,True
Food,Spaces,0.0,0.0,False
Fashion,Jewelry,1650.0,163.0,False
Art,Video Art,2666.0,20.5,False
Photography,Animals,1000.0,1377.0,True
Comics,Webcomics,6300.0,1.0,False
Journalism,Web,3000.0,9322.0,True
Publishing,Publishing,300000.0,0.0,False
Theater,Immersive,30000.0,35062.0,True
Food,Restaurants,15000.0,280.0,False
Journalism,Print,8000.0,0.0,False
Publishing,Fiction,5000.0,6839.0,True
comics,Comic Books,5000.0,17.32,False
Film & Video,shorts,1500.0,0.0,False
Journalism,Photo,1000.0,477.0,False
Publishing,Comedy,1200.0,1283.0,True
Film & Video,Animation,3600.0,4146.01,True
Design,Design,500.0,672.0,True
Crafts,Quilts,1565.0,1925.0,True
Technology,Makerspaces,8000.0,8267.0,True
Food,Drinks,900.0,0.0,False
Food,Spaces,25000.0,3274.0,False
Technology,Software,29500.0,7318.8,False
Crafts,Woodworking,8000.0,430.0,False
Design,Design,3200.0,415.0,False
Photography,Nature,600.0,21.0,False
Music,Country & Folk,31945.0,33182.0,True
Music,Blues,10000.0,23876.0,True
Publishing,Publishing,6350.0,775.0,False
Food,Spaces,8000.0,10024.0,True
Food,Community Gardens,4000.0,24.0,False
Music,Chiptune,22171.0,23247.0,True
Journalism,Audio,50000.0,52099.59,True
Journalism,Audio,6000.0,6406.0,True
Theater,Theater,300.0,410.0,True
Music,Rock,10000.0,12045.0,True
Publishing,Zines,500.0,0.0,False
Comics,Events,2016.0,2653.0,True
comics,Graphic Novels,600.0,3215.0,False
Design,Civic Design,200000.0,2.0,False
Journalism,Video,700.0,0.0,False
Music,Comedy,2200.0,13.0,False
Music,Electronic Music,3091.0,15.0,False
Theater,Immersive,175000.0,701.0,False
Music,R&B,1500.0,1640.0,True
Music,Jazz,7000.0,7911.32,True
Music,R&B,20000.0,21157.0,True
Crafts,Weaving,100000.0,18.8,False
Music,Kids,1600.0,1600.0,True
Music,World Music,55000.0,920.0,False
Journalism,Print,250000.0,2300.0,False
Publishing,Literary Journals,10000.0,100.0,False
Art,Art,2000.0,0.0,False
Art,Installations,1200.0,160.0,False
Games,Games,100000.0,0.0,False
Music,Country & Folk,15000.0,2149.0,False
Art,Ceramics,8000.0,1.0,False
Photography,Places,2000.0,60.0,False
Technology,Flight,700.0,1.0,False
Games,Playing Cards,9000.0,25.0,False
Film & Video,Family,10000.0,1306.0,False
Food,Cookbooks,560.0,2951.0,True
Photography,fine art,4000.0,0.0,False
Design,Product Design,10500.0,60345.0,True
Film & Video,Festivals,9999.0,0.0,False
Technology,DIY Electronics,698.0,920.0,False
Comics,Graphic Novels,5500.0,6348.0,True
Theater,Plays,8000.0,8001.0,True
Music,Electronic Music,1500.0,1529.0,True
Food,Events,750.0,2.0,False
Dance,Residencies,5000.0,6000.0,True
Film & Video,Comedy,50000.0,0.0,False
Food,Cookbooks,4239.0,0.0,False
Comics,Comics,18000.0,2465.0,False
Art,Public Art,45000.0,47215.0,True
Technology,Wearables,20000.0,312187.0,True
Technology,Technology,6173.0,13622.0,True
Fashion,Footwear,15000.0,1079.0,False
Photography,Fine Art,1000.0,165.0,False
Music,Classical Music,2000.0,1057.08,False
Film & Video,Documentary,750.0,0.0,False
Games,tabletop games,1500.0,5401.0,False
Film & Video,Comedy,250000.0,10.0,False
Food,Restaurants,10000.0,10053.0,True
Publishing,Translations,5294.0,154.0,False
Film & Video,Webseries,449040.0,11.0,False
Games,Live Games,5000.0,31296.0,True
Music,Classical Music,3600.0,10.0,False
Publishing,Nonfiction,2700.0,256.0,False
Music,Hip-Hop,20000.0,5.0,False
Crafts,Weaving,30000.0,150.0,False
Art,Digital Art,10000.0,0.0,False
Music,World Music,2531.0,84.0,False
Publishing,Radio & Podcasts,2000.0,2263.0,True
Photography,Animals,20000.0,127689.0,False
Theater,Musical,4300.0,4447.0,True
Theater,Comedy,650.0,1463.0,True
Design,Architecture,15000.0,16653.77,True
Art,Illustration,0.0,0.0,False
Photography,Photography,2000.0,2173.0,True
Film & Video,Family,392736.0,0.0,False
Film & Video,Webseries,2000.0,100.0,False
Publishing,nonfiction,5000.0,0.0,False
Publishing,Children's Books,30000.0,50.0,False
Design,Design,33800.0,22.0,False
comics,comic books,4000.0,3001.0,False
Comics,Anthologies,9420.0,1416.0,False
Food,Farms,300000.0,95.0,False
Journalism,Video,150.0,185.0,True
Food,Bacon,750.0,10.0,False
Art,Installations,4000.0,4000.0,True
Crafts,DIY,5000.0,5528.0,True
Art,Ceramics,2500.0,205.0,False
Film & Video,Television,97995.0,13.0,False
Music,Chiptune,4500.0,7073.0,True
Film & Video,Experimental,2346.0,4489.0,True
Dance,Dance,1949.0,58.0,False
Publishing,Literary Spaces,25000.0,2135.0,False
Fashion,Apparel,30000.0,30262.0,True
Film & Video,Fantasy,1630.0,1919.0,True
Fashion,Footwear,20000.0,77031.0,True
Music,Rock,2000.0,2170.0,True
Crafts,Woodworking,1000.0,0.0,False
Technology,Space Exploration,1000000.0,1376611.0,True
Games,Tabletop Games,1000.0,0.0,False
Design,Civic Design,1200.0,1364.0,True
Music,Comedy,50000.0,51360.71,True
Food,Drinks,12000.0,796.0,False
Photography,Fine Art,4500.0,4834.0,True
Publishing,Literary Journals,553.0,939.0,True
Technology,Fabrication Tools,3000.0,3402.0,True
Film & Video,shorts,5000.0,0.0,False
Film & Video,Drama,12000.0,14461.0,True
Fashion,Pet Fashion,92.0,0.0,False
Crafts,Letterpress,40000.0,41004.0,True
Film & Video,Music Videos,8000.0,10000.0,True
Art,Mixed Media,2000.0,16.0,False
Technology,Wearables,2000.0,9318.0,False
Technology,DIY Electronics,716.0,6849.0,True
Film & Video,Action,3500.0,3679.0,True
Crafts,Glass,300000.0,617659.0,True
Art,Performance Art,4500.0,5056.0,True
Crafts,DIY,1000.0,30.0,False
Games,Games,1000.0,3201.0,True
Theater,Theater,3000.0,325.0,False
Technology,Wearables,75000.0,124155.0,True
Technology,Apps,1000.0,1249.0,True
Film & Video,Fantasy,3000.0,3150.0,True
Film & Video,Drama,3000.0,3035.0,True
Fashion,Pet Fashion,253.0,273.0,True
Publishing,Young Adult,1600.0,1654.0,True
Food,Spaces,15000.0,266.0,False
Publishing,Translations,350.0,125.0,False
Technology,3D Printing,50000.0,220587.0,True
Art,Illustration,1750.0,15.0,False
Music,R&B,2000.0,2300.0,True
Publishing,Radio & Podcasts,2500.0,2731.0,True
Design,product design,1500.0,0.0,False
Design,Interactive Design,10000.0,16807.0,True
Film & Video,Television,20000.0,20004.0,True
Food,Farms,5000.0,525.0,False
Art,Conceptual Art,5000.0,5423.0,True
Publishing,Nonfiction,4500.0,4860.0,True
Film & Video,Comedy,1498.0,1498.0,True
Music,indie rock,1500.0,0.0,False
Film & Video,Movie Theaters,32500.0,40012.0,True
Theater,Experimental,5000.0,5010.0,True
Publishing,Art Books,7400.0,12495.0,True
Music,Electronic Music,100.0,1329.0,True
Crafts,Quilts,2750.0,100.0,False
Technology,Gadgets,134000.0,833.0,False
Fashion,Jewelry,25000.0,20.0,False
Theater,Festivals,2487.0,124.0,False
Film & Video,Comedy,600.0,0.0,False
Games,Playing Cards,0.0,0.0,False
Crafts,Weaving,3538.0,3768.0,True
Publishing,fiction,7500.0,0.0,False
Publishing,Publishing,4500.0,0.0,False
Art,Ceramics,4101.0,4655.0,True
Music,Pop,2200.0,875.0,False
Design,Graphic Design,2000.0,0.0,False
Film & Video,Narrative Film,900.0,1125.0,True
Food,Vegan,900.0,1195.0,True
Journalism,Audio,5289.0,11.0,False
Art,Digital Art,10000.0,4118.0,False
Publishing,Publishing,5000.0,12104.0,True
Film & Video,Horror,2800.0,50.0,False
Music,World Music,698.0,31.0,False
Games,Mobile Games,200000.0,353.0,False
Design,Civic Design,12599.0,356.0,False
Technology,Robots,27206.0,8665.0,False
Technology,Makerspaces,25000.0,2836.0,False
Crafts,Letterpress,1000.0,1253.0,True
Music,Comedy,5000.0,9016.0,True
Art,Digital Art,800.0,8658.0,True
Games,Video Games,31.0,35.0,True
Crafts,Woodworking,6000.0,7051.0,True
Crafts,Stationery,300000.0,428609.0,True
Publishing,Fiction,5000.0,85.0,False
Theater,Theater,500.0,595.0,True
Crafts,Quilts,12000.0,12200.0,True
Art,Painting,4800.0,89.0,False
Theater,Plays,1250.0,1316.0,True
Publishing,Academic,5000.0,8061.0,True
Comics,Anthologies,4000.0,401.0,False
Technology,Gadgets,31283.0,32887.0,True
Photography,Photobooks,12500.0,13414.0,True
Music,Hip-Hop,769.0,963.0,True
Photography,People,4000.0,4499.0,True
Publishing,Comedy,500.0,111.0,False
Music,R&B,9500.0,10267.11,True
Crafts,Embroidery,3000.0,525.0,False
comics,Graphic Novels,6000.0,24.0,False
Film & Video,Thrillers,5800.0,0.0,False
Design,Product Design,7500.0,7805.0,True
Art,Video Art,1000.0,1230.0,True
Food,Events,100.0,101.0,True
Crafts,Quilts,3500.0,4297.0,True
Music,R&B,2500.0,3250.55,True
Comics,Webcomics,6500.0,2212.0,False
Fashion,Childrenswear,15000.0,200.0,False
Fashion,Apparel,6000.0,1596.0,False
Design,Architecture,750000.0,1.0,False
Art,Mixed Media,2700.0,1460.0,False
Technology,Hardware,11000000.0,721036.46,False
Publishing,Calendars,2500.0,361.0,False
Journalism,Video,2370.0,140.0,False
Crafts,Glass,16000.0,545.0,False
Games,tabletop games,6000.0,1.0,False
Fashion,Footwear,25000.0,36611.0,True
Art,Painting,800.0,850.0,True
Crafts,Stationery,1000.0,52.0,False
Publishing,Children's Books,8000.0,9067.0,True
Crafts,Glass,950.0,1155.0,True
Film & Video,Film & Video,500.0,60.0,False
Photography,Places,500.0,574.0,True
Fashion,Jewelry,500.0,2.0,False
Publishing,Nonfiction,5000.0,37.0,False
Art,Sculpture,4000.0,50.0,False
Technology,DIY Electronics,10000.0,2253.0,False
comics,Graphic Novels,19000.0,1.0,False
Photography,Nature,2500.0,7461.0,True
Art,Digital Art,8200.0,2643.0,False
Games,Video Games,1600000.0,731.0,False
Crafts,Printing,750.0,806.0,True
Theater,Theater,4750.0,540.0,False
Publishing,nonfiction,2000.0,0.0,False
Games,Playing Cards,188888.0,1358.0,False
Photography,Animals,4000.0,0.0,False
Comics,Webcomics,250.0,3.0,False
Art,Art,5000.0,5875.0,True
Fashion,Ready-to-wear,100.0,11.0,False
Fashion,Pet Fashion,200.0,281.0,True
Theater,Plays,15000.0,2524.0,False
Film & Video,Action,6000.0,7.0,False
Film & Video,Horror,26063.0,26788.0,True
Art,Textiles,2139.0,211.0,False
Crafts,Woodworking,500.0,0.0,False
Design,Typography,37000.0,1440346.0,True
Film & Video,Thrillers,500.0,841.0,True
Art,Public Art,1500.0,1517.0,True
Music,Rock,1000.0,310.0,False
Design,Graphic Design,3500.0,11183.0,True
Fashion,Ready-to-wear,1000.0,2.0,False
Publishing,Zines,20000.0,3277.0,False
Food,Restaurants,250000.0,0.0,False
Publishing,Publishing,2300.0,4396.0,True
Photography,Fine Art,300.0,355.0,True
Theater,Plays,2000.0,100.0,False
Art,Video Art,2000.0,2822.0,True
Food,Community Gardens,500.0,54.0,False
Journalism,Web,130.0,195.0,True
Food,Events,120.0,120.0,True
Art,Social Practice,500.0,30.0,False
Music,Blues,1300.0,50.0,False
Photography,Places,750.0,791.0,True
Music,Music,8500.0,9380.0,True
Film & Video,Horror,100000.0,10039.0,False
Theater,Musical,500.0,66.0,False
Design,Graphic Design,25000.0,0.0,False
Film & Video,Music Videos,130.0,160.0,True
Art,Art,304.0,3.0,False
Design,Interactive Design,20000.0,20615.0,True
Art,Performance Art,2000.0,0.0,False
Music,Electronic Music,2000.0,325.0,False
Games,Puzzles,5000.0,33250.0,True
Food,Community Gardens,1000.0,1161.0,True
Crafts,Letterpress,4000.0,4809.0,True
Dance,Performances,4048.0,30.0,False
Technology,Makerspaces,5100.0,270.0,False
Music,Classical Music,7000.0,650.0,False
Technology,3D Printing,82500.0,4209.0,False
Games,Live Games,20000.0,3144.0,False
Journalism,Video,1200.0,1260.0,True
Publishing,Zines,1999.0,683.0,False
Food,Small Batch,2500.0,29.0,False
Theater,Spaces,15000.0,18185.0,True
Games,Video Games,500.0,57.0,False
Music,Blues,3000.0,3680.0,True
Music,Classical Music,5000.0,1836.0,False
Food,Bacon,10000.0,10264.01,True
comics,Comic Books,1500.0,954.0,False
Crafts,Stationery,400.0,195.0,False
Fashion,Accessories,350.0,153.0,False
Publishing,Translations,2140.0,141.0,False
Publishing,Publishing,5000.0,40.0,False
Photography,Photography,2500.0,2610.0,True
Art,Social Practice,3000.0,91.0,False
Publishing,Fiction,3000.0,3078.0,True
Journalism,Web,100.0,103.0,True
Design,Architecture,31700.0,35563.0,True
Music,Rock,2500.0,785.0,False
Film & Video,narrative film,190000.0,35.0,False
Design,Toys,99000.0,10444.0,False
Publishing,Poetry,600.0,2156.0,True
Music,rock,20000.0,0.0,False
Food,Food Trucks,10000.0,12022.0,True
Theater,Musical,1500.0,30.0,False
Theater,Experimental,150.0,0.0,False
Film & Video,Movie Theaters,2000000.0,0.0,False
comics,Graphic Novels,10000.0,152.0,False
Design,Design,15000.0,15965.0,True
Art,Art,1620.0,0.0,False
Music,Music,3500.0,4655.0,True
Crafts,Quilts,3000.0,200.0,False
Art,Performance Art,20000.0,20901.0,True
Photography,Photobooks,4800.0,651.0,False
Music,Latin,35000.0,4572.8,False
Music,Indie Rock,15000.0,2509.45,False
Crafts,Quilts,20.0,132.0,True
Fashion,Fashion,9200.0,10598.0,True
Film & Video,Festivals,5000.0,0.0,False
Film & Video,Comedy,300.0,480.0,True
Music,Jazz,4000.0,4789.99,True
Journalism,Print,55000.0,1.0,False
Film & Video,Music Videos,2625.0,24.0,False
Film & Video,Movie Theaters,100000.0,131758.53,True
Film & Video,Documentary,1588.0,1588.0,True
Publishing,Translations,30000.0,288.0,False
Comics,Comic Books,10000.0,26753.0,True
Film & Video,Film & Video,13000.0,3091.0,False
Film & Video,Thrillers,10000.0,56.0,False
Design,Interactive Design,2000.0,2243.0,True
Art,Video Art,500.0,120.0,False
Publishing,Periodicals,7000.0,101.0,False
Games,Tabletop Games,2000.0,3785.0,True
Fashion,Accessories,400.0,1699.0,True
